시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일,거래구분,중개사사무소,본번,부번,단지명,전용면적(㎡),층,등기신청일자,거래유형,중개사소재지,건물명,대지권면적(㎡),발표
풍무동,795,아파트,,,,202306,22,41000,2018.0,풍무로68번길 10,,,,795,0.0,김포풍무꿈에그린더포레듀3단지,74.975,3.0,20230828,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,3,58500,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.9914,31.0,20230724,중개거래,경기 김포시,,,발표전
장기동,1885-6,아파트,,,,202306,24,34700,2012.0,김포한강2로 229,,,,1885,6.0,한강호반베르디움,59.9695,13.0,20230810,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,8,41800,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.975,18.0,20230811,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,14,45750,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.996,21.0,20231005,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,16,43000,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.996,7.0,20230720,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,23,47500,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,74.996,20.0,20230714,중개거래,경기 김포시,,,발표전
풍무동,598-8,아파트,,,,202306,2,25800,1998.0,풍무로 36,,,,598,8.0,당곡마을(범양),59.794,14.0,20230817,중개거래,경기 김포시,,,발표전
걸포동,1561,아파트,,,,202306,10,59900,2010.0,걸포1로 10,,,,1561,0.0,오스타파라곤2단지,118.93,9.0,20230731,중개거래,경기 김포시,,,발표전
풍무동,748,아파트,,,,202306,15,34700,2002.0,풍무로69번길 51,,,,748,0.0,당곡마을(월드메르디앙),94.4623,15.0,20230630,중개거래,경기 김포시,,,발표전
걸포동,1595,아파트,,,,202306,8,55000,2020.0,걸포2로 83,,,,1595,0.0,한강메트로자이1단지,74.4083,5.0,20230907,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,6,58800,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.9821,8.0,20230830,중개거래,경기 김포시,,,발표전
감정동,550-1,아파트,,,,202306,26,11000,1992.0,감정로 3,,,,550,1.0,신한,47.76,1.0,20230727,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,13,58800,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.9914,25.0,20230724,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,10,55000,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,72.8531,6.0,20230818,중개거래,경기 김포시,,,발표전
풍무동,1,아파트,,,,202306,17,18000,1993.0,장릉로 56,,,,1,0.0,길훈,59.625,12.0,20230731,중개거래,경기 김포시,,,발표전
풍무동,1,아파트,,,,202306,24,17000,1993.0,장릉로 56,20230725.0,,,1,0.0,길훈,59.625,5.0, ,중개거래,경기 김포시,,,발표전
걸포동,1595,아파트,,,,202306,28,64850,2020.0,걸포2로 83,,,,1595,0.0,한강메트로자이1단지,84.982,6.0,20230811,중개거래,경기 김포시,,,발표전
풍무동,797,아파트,,,,202306,14,36000,2018.0,유현로33번길 73,,,,797,0.0,김포풍무꿈에그린더포레듀4단지,59.95,6.0,20230614,직거래,-,,,발표전
장기동,1885-6,아파트,,,,202306,22,34300,2012.0,김포한강2로 229,,,,1885,6.0,한강호반베르디움,59.9695,8.0,20230802,중개거래,경기 김포시,,,발표전
풍무동,583-6,아파트,,,,202306,13,37602,1999.0,유현로 19,,,,583,6.0,유현마을(신동아),115.79,5.0,20230619,직거래,-,,,발표전
장기동,Jan.58,아파트,,,,202306,17,51000,2012.0,김포한강2로 113,,,,2058,1.0,한강신도시초당마을중흥에스-클래스리버티,84.9973,16.0,20230822,중개거래,경기 김포시,,,발표전
운양동,1304-5,아파트,,,,202306,22,54000,2014.0,김포한강11로 227,,,,1304,5.0,풍경마을래미안한강2차,84.98,20.0,20230724,중개거래,경기 김포시,,,발표전
장기동,1869-5,아파트,,,,202306,7,41900,2014.0,김포한강2로 273,,,,1869,5.0,청송마을모아미래도엘가,84.9286,25.0,20230830,중개거래,경기 김포시,,,발표전
운양동,1304-1,아파트,,,,202306,6,45400,2018.0,김포한강11로255번길 15,,,,1304,1.0,김포한강이랜드타운힐스,72.919,3.0,20230727,중개거래,경기 김포시,,,발표전
운양동,1407-5,아파트,,,,202306,1,37000,2013.0,김포한강11로 179,,,,1407,5.0,한강신도시푸르지오,59.9478,2.0,20230608,중개거래,경기 김포시,,,발표전
장기동,2031,아파트,,,,202306,17,58000,2017.0,김포한강2로 41,,,,2031,0.0,e편한세상캐널시티,84.3015,12.0,20231222,중개거래,경기 김포시,,,발표전
장기동,Jan.65,아파트,,,,202306,13,70500,2011.0,김포한강2로 103,,,,2065,1.0,초당마을(우남퍼스트빌),140.56,18.0,20230915,중개거래,경기 김포시,,,발표전
장기동,Jan.65,아파트,,,,202306,7,66000,2011.0,김포한강2로 103,,,,2065,1.0,초당마을(우남퍼스트빌),126.04,15.0,20230718,중개거래,경기 김포시,,,발표전
장기동,1866-1,아파트,,,,202306,27,44700,2012.0,김포한강2로 362,,,,1866,1.0,청송마을중흥에스-클래스,107.5928,4.0,20230823,중개거래,"경기 김포시, 경기 화성시",,,발표전
장기동,1866-1,아파트,,,,202306,20,45500,2012.0,김포한강2로 362,,,,1866,1.0,청송마을중흥에스-클래스,107.5928,8.0,20230801,중개거래,경기 김포시,,,발표전
장기동,1866-1,아파트,,,,202306,5,45200,2012.0,김포한강2로 362,,,,1866,1.0,청송마을중흥에스-클래스,107.5928,18.0,20230810,중개거래,"경기 김포시, 인천 서구",,,발표전
장기동,1866-1,아파트,,,,202306,1,47000,2012.0,김포한강2로 362,,,,1866,1.0,청송마을중흥에스-클래스,112.4662,17.0,20230811,중개거래,경기 김포시,,,발표전
장기동,Jan.65,아파트,,,,202306,19,67000,2011.0,김포한강2로 103,,,,2065,1.0,초당마을(우남퍼스트빌),126.04,24.0,20230721,중개거래,경기 김포시,,,발표전
장기동,1869-5,아파트,,,,202306,24,42500,2014.0,김포한강2로 273,,,,1869,5.0,청송마을모아미래도엘가,84.8152,7.0,20230830,중개거래,경기 김포시,,,발표전
고촌읍,BL-A1-1,아파트,,,,202306,18,52500,2020.0,상미로 38,,,,00A1,1.0,힐스테이트 리버시티 1단지,76.9904,12.0,20230830,중개거래,"경기 김포시, 서울 강남구",,,발표전
통진읍,134,아파트,,,,202306,17,16700,1997.0,김포대로2270번길 29,,,,134,0.0,현대1,59.968,6.0,20230705,중개거래,경기 김포시,,,발표전
양촌읍,1268,아파트,,,,202306,18,33700,2020.0,양곡로449번길 15,,,,1268,0.0,한강금호어울림1단지,77.9681,12.0,20230822,중개거래,경기 김포시,,,발표전
풍무동,583-6,아파트,,,,202306,17,40400,1999.0,유현로 19,,,,583,6.0,유현마을(신동아),115.79,14.0,20230908,중개거래,경기 김포시,,,발표전
